CLAIM NO,EMPLOYER NAME,EMPLOYER CITY,ST,ZIP,INDUSTRY,INDUSTRY (IF OTHER),SOURCE (URL),NOTES
LLVA59836,MORE SOLUTIONS YOUTH & FAMILY SERVICES,MECHANICSVILLE,VA,23111,,,,
LLVA59837,ROANOKE RESOURCE LLC,ROANOKE,VA,24016,,,,
LLVA59838,SONIC DRIVE IN,HAMPTON,VA,23666,,,,
LLVA59839,HEAVENLY HELPERS IN-HOME SERVICES,MECHANICSVILLE,VA,23116,,,,
LLVA59840,OLD DOMINION UNIVERSITY,NORFOLK,VA,23529,,,,
LLVA59841,BEACH WORLD,VIRGINIA BEACH,VA,23452,,,,
LLVA59842,SLEEP INN & SUITES,CHESAPEAKE,VA,23321,,,,
LLVA59843,BLUE RIDGE CAFE,RUCKERSVILLE,VA,22968,,,,
LLVA59844,PANERA BREAD LLC,SUFFOLK,VA,23434,,,,
LLVA59846,KIDDIE ACADEMY OF CHARLOTESVILLE,CHARLOTTESVILLE,VA,22901,,,,
LLVA59847,DDGII INC,VIRGINIA BEACH,VA,23455,,,,
LLVA59848,CAR WEB,FREDERICKSBURG,VA,22401,,,,
LLVA59849,RIVERSIDE PAPER SUPPLY,NEWPORT NEWS,VA,23603,,,,
LLVA59850,"COVENANT SECURITY SOLUTIONS, INC",MCLEAN,VA,22102,,,,
LLVA59851,APPTECH SOLUTIONS,ROANOKE,VA,24017,,,,
LLVA59852,LUCCA ENOTECA,RICHMOND,VA,23219,,,,
LLVA59853,FAIRFIELD PSYCHOLOGICAL ASSOCIATES,VIRGINIA BEACH,VA,23462,,,,
LLVA59854,BLUE EXPRESS TRUCKING,CHESTERFIELD,VA,23834,,,,
LLVA59855,AUNTIE ANNES,CULPEPER,VA,22701,,,,
LLVA59856,AKSEIZER DESIGN GROUP,ALEXANDRIA,VA,22314,,,,
LLVA59857,MID ATLANTIC PRINTERS,ALTAVISTA,VA,24517,,,,
LLVA59858,FAREVA,RICHMOND,VA,23231,,,,
LLVA59862,KINGDOM DOMINION LLC,CHESTERFIELD,VA,23225,,,,
LLVA59863,C.W. & SON PAVING & HAULING INC.,RICHMOND,VA,23234,,,,
LLVA59864,GRAVITY HILL LLC,RICHMOND,VA,23230,,,,
LLVA59865,COUCOON SIGNATURE SALON & SPA,VIRGINIA BEACH,VA,23451,,,,
LLVA59866,COUCOON SIGNATURE SALON & SPA,VIRGINIA BEACH,VA,23462,,,,
LLVA59867,INTERIM HEALTHCARE,CHARLOTTESVILLE,VA,22911,,,,
LLVA59868,ADVANTAGE SALES & MARKETING,ANAHEIM,CA,92806,,,,
LLVA59869,CALM SOURCE,DANVILLE,VA,24541,,,,
LLVA59870,CHOMPS RESTAURANT,LOCUST GROVE,VA,22508,,,,
LLVA59871,FLOW BLOW DRY & BEAUTY BAR,ASHBURN,VA,20147,,,,
LLVA59872,BLUE DOVE HOME HEALTH SERVICES,MANASSAS,VA,20110,,,,
LLVA59874,VIRGINIA ORGINALS & CHESAPEAKE GRILL,VIRGINIA BEACH,VA,23451,,,,
LLVA59875,HUNT COMPANIES FORT LEE FAMILY HOUSING,FORT LEE,VA,23801,,,,
LLVA59876,B.A.G.H. LLC,CHESAPEAKE,VA,23323,,,,
LLVA59878,"TRUE DESTINY HOME HEALTH CARE, LLC",PORTSMOUTH,VA,23701,,,,
LLVA59879,"LEAF FILTER NORTH, INC",HUDSON,OH,44236,,,,
LLVA59880,DREAMY PUPPY LLC,FREDERICKSBURG,VA,22407,,,,
LLVA59881,DREAMY PUPPY LLC,FREDERICKSBURG,VA,22407,,,,
LLVA59883,THE CFP GROUP,MCLEAN,VA,22101,,,,
LLVA59884,JUST IN TIME MEDICAL SERVICES LLC,FAIRFAX,VA,22031,,,,
LLVA59885,ESTES EXPRESS LINES,RICHMOND,VA,23230,,,,
LLVA59886,AMAZING SECURITY & INVESTIGATIONS,COLLEGE PARK,MD,20740,,,,
LLVA59887,SERTEC LLC,ALEXANDRIA,VA,22310,,,,
LLVA59888,SECURITAS SECURITY,VIRGINIA BEACH,VA,23462,,,,
LLVA59890,"CHESAPEAKE COATINGS AND DECKS, INC",CHESAPEAKE,VA,23321,,,,
LLVA59891,STAN'S SKI & SNOWBOARD D.B.A. AS BLUE RIDGE POOLS & SPAS,STAUNTON,VA,24401,,,,
LLVA59892,SENSITIVE CLEANING SERVICES,ROANOKE,VA,24017,,,,
LLVA59893,C2S CONSULTING GROUP,ASHBURN,VA,20148,,,,
LLVA59894,"TRIBUNE MEDIA GROUP, LLC",STERLING,VA,20166,,,,
LLVA59895,MINISTERING ANGELS LLC,WINCHESTER,VA,22601,,,,
LLVA59896,LOVE BUG LEARNING ACADEMY,VIRGINIA BEACH,VA,23462,,,,
LLVA59897,METROPOLITAN BUILDERS SERVICES,FALLS CHURCH,VA,22041,,,,
LLVA59898,SUSAN CRITZ CATERING,MARTINSVILLE,VA,24112,,,,
LLVA59899,MINISTERING ANGELS LLC,WINCHESTER,VA,22601,,,,
LLVA59900,CHA CHA'S CARE HOME,MECHANICSVILLE,VA,23111,,,,
LLVA59901,ECOMNETS INC,STERLING,VA,20164,,,,
LLVA59902,"HALT BUZAS & POWELL, LTD",ALEXANDRIA,VA,22314,,,,
LLVA59903,PAGSTA LLC,SEDONA,AZ,86336,,,,
LLVA59904,"PAGSTA, LLC",SEDONA,AZ,86336,,,,
LLVA59905,MALIBU EXOTIC & LUXURY DETAIL,YORKTOWN,VA,23693,,,,
LLVA59906,BILL MILLER,ORANGE,VA,22960,,,,
LLVA59907,JAJ LIGHTING & POWER LLC,WOODBRIDGE,VA,22192,,,,
LLVA59908,JOELS AUTO WHOLESALE,NORFOLK,VA,23502,,,,
LLVA59909,RYAN ATKINS MASONARY LLC,APPOMATTOX,VA,24522,,,,
LLVA59911,KINGDOM DOMINION LLC,RICHMOND,VA,23225,,,,
LLVA59912,IMPORTS OF TIDEWATER,VIRGINIA BEACH,VA,23462,,,,
LLVA59914,BLUE XPRESS,CHESTER,VA,23836,,,,
LLVA59915,WE LOVE KIDS INC,NEWPORT NEWS,VA,23602,,,,
LLVA59916,KROGER,FOREST,VA,24551,,,,
LLVA59917,PUNITA GROUP,CHANITILLY,VA,20151,,,,
LLVA59918,"VILLAGE CONCRETE COMMERCIAL, INC",MANASSAS,VA,20109,,,,
LLVA59919,SHENANDOAH VALLEY ORGANIC,HARRISONBURG,VA,22801,,,,
LLVA59920,FREDERICKSBURG FLOWERS,FREDERICKSBRUG,VA,22401,,,,
LLVA59921,"ALAMI'S NEW YORK PIZZERIA, INC",CHESAPEAKE,VA,23322,,,,
LLVA59922,M & E CONTRACTORS,HENRICO,VA,23228,,,,
LLVA59924,NELSON BERNARD CONSTRUCTION,KEELING,VA,24566,,,,
LLVA59927,DAVIS-PAIGE MANAGEMENT SYSTEMS LLC,ANNANDALE,VA,22003,,,,
LLVA59928,TRINITY FAMILY SERVICE,NEWPORT NEWS,VA,23666,,,,
LLVA59929,UNITED INDUSTRIAL SERVICES,RICH CREEK,VA,24147,,,,
LLVA59930,MINISTERING ANGELS LLC,WINCHESTER,VA,22601,,,,
LLVA59931,"AMERICAN LAW GROUP, INC",HENRICO,VA,23294,,,,
LLVA59932,KINGDOM DOMINION LLC,CHESTERFIELD,VA,23225,,,,
LLVA59933,WILLIAMSBURG PLANTATION RESORT,WILLIAMSBURG,VA,23188,,,,
LLVA59934,WIRELESS ZONE VERIZON STORE,CHANTILLY,VA,20152,,,,
LLVA59935,CHESAPEAKE BED & BISCUIT,CHESAPEAKE,VA,23321,,,,
LLVA59936,RTC ELECTRICAL SERVICES LLC,WINCHESTER,VA,22603,,,,
LLVA59937,CHIRAGH,ARLINGTON,VA,22202,,,,
LLVA59939,PHIL FOUR THIRTEEN LLC,VERONA,VA,24482,,,,
LLVA59940,POHANKA HYUNDAI OF FREDERICKSBURG,FREDERICKSBURG,VA,22401,,,,
LLVA59941,A NEW INSPIRATION,SALAM,VA,24153,,,,
LLVA59942,PAYLESS SHOESOURCE,ROANOKE,VA,24014,,,,
LLVA59943,ABINGDON HEALTH & REHAB CCR ROANOKE VA,ABINGDON,VA,24340,,,,
LLVA59945,ALLIED AND ASSOCIATES,RICHMOND,VA,23223,,,,
LLVA59947,BURKE & HERBERT BANK AND TRUST,ALEXANDRIA,VA,22314,,,,
LLVA59948,"ROSEMOUNT FUNDING, LTD",WATERFORD,VA,20197,,,,
LLVA59949,SANABRIA INSURANCE GROUP,LEESBRUG,VA,20176,,,,
LLVA59950,APPTECH SOLUTIONS LLC,SALEM,VA,24153,,,,
LLVA59951,GREENBRIER DODGE,CHESAPEAKE,VA,23320,,,,
LLVA59952,ADVANCE CARE LLC,RICHMOND,VA,23236,,,,
LLVA59953,RACHEL'S HAVEN INC,POUND,VA,24279,,,,
LLVA59955,VA $1.95 CLEANERS,ROANOKE,VA,24014,,,,
LLVA59956,"JERRY'S CHEVROLET, INC",LEESBRUG,VA,20175,,,,
LLVA59957,"JERRY'S CHEVROLET, INC",LEESBURG,VA,20175,,,,
LLVA59958,"JERRY'S CHEVROLET, INC",LEESBRUG,VA,20175,,,,
LLVA59959,ELITE STAFFING COMPANY,RICHMOND,VA,23236,,,,
LLVA59960,CLAYMORE SIECK WHOLESALE OF VA,RICHMOND,VA,23230,,,,
LLVA59961,PRIMO'S PIZZA,VIRGINIA BEACH,VA,23492,,,,
LLVA59962,"MEDICAL STAFFFING SOLUTIONS, USA",NORFOLK,VA,23502,,,,
LLVA59963,WE LOVE KIDS,NEWPORT NEWS,VA,23602,,,,
LLVA59964,CUSTOM CLEANING,HAYES,VA,23072,,,,
LLVA59965,EDEN'S WAY LANDSCAPING,NORFOLK,VA,23503,,,,
LLVA59966,MAHAN CONSULTING LLC,MCLEAN,VA,22102,,,,
LLVA59967,"JORDAN LOGISTICS, INC.",MECHANICSVILLE,VA,23111,,,,
LLVA59968,"JAMES MOTT COMMUNITY ASSISTANCE PROGRAM, INC",FAIRFAX,VA,22030,,,,
LLVA59969,TECHLIGENT SYSTEMS INC.,VIENNA,VA,22182,,,,
LLVA59970,ARBY'S,WISE,VA,24293,,,,
LLVA59971,ANGELA AMOTO LLC,MIDLOTHIAN,VA,23113,,,,
LLVA59972,LPS FREIGHT,WAYNESBORO,VA,22980,,,,
LLVA59973,WCC CABLE,FREDRICKSBURG,VA,22408,,,,
LLVA59974,"MIDTOWN HOSPITALITY, LLC",RICHMOND,VA,23231,,,,
LLVA59975,COFFEE INK INC,VIRGINIA BEACH,VA,23462,,,,
LLVA59976,RICHMOND COLISEUM,RICHMOND,VA,23222,,,,
LLVA59977,"TIDEWATER HOME FUNDING, LLC",CHESAPEAKE,VA,23320,,,,
LLVA59978,"MAXI-CLEAN, INC",ALEXANDRIA,VA,22310,,,,
LLVA59979,MATRIX INDUSTRIES,STERLING,VA,20166,,,,
LLVA59980,SEASIDE FRENCH & THAI RESTAURANT,COLONIAL BEACH,VA,22443,,,,
LLVA59983,ANGELA AMATO LLC,MIDLOTHIAN,VA,23113,,,,
LLVA59985,HILTON GARDEN INN,CHESAPEAKE,VA,23435,,,,
LLVA59986,WIGO TECH REPAIR SHOP FALLS CHURCH,FALLS CHURCH,VA,22041,,,,
LLVA59987,WITCHDUCK DEVELOPMENT INC,VIRGINIA BEACH,VA,23462,,,,
LLVA59988,LUNA INC FAMILY THRIFT CENTER,VIRGINIA BEACH,VA,23455,,,,
LLVA59989,TITAN STRUCTURES AND DEVELOPMENTS INC,WOODBRIDGE,VA,22191,,,,
LLVA59990,SERVPRO OF PORTSMOUTH,PORTSMOUTH,VA,23703,,,,
LLVA59991,"HALT BUZAS & POWELL, LTD",ALEXANDRIA,VA,22314,,,,
LLVA59992,CAFE ASIA,ROANOKE,VA,24012,,,,
LLVA59993,DM SELECT HEATING AND COOLING,BURKE,VA,22015,,,,
LLVA59994,"RCB RESTAURANT GROUP, LLC",SCOTTSVILLE,VA,24590,,,,
LLVA59995,ADVANCED HEALTH CENTER,ARLINGTON,VA,22204,,,,
LLVA59996,ROCK BOTTOM RESTURANT BREWERY,RICHMOND,VA,23060,,,,
LLVA59997,CHATEAU MORRISETTE,FLOYD,VA,24091,,,,
LLVA59998,AT&T MOBILITY,LEBANON,VA,24266,,,,
LLVA59999,BMS LLC,ARLINGTON,VA,22202,,,,
LLVA60000,DOMINO'S PIZZA,ROCKY MOUNT,VA,24151,,,,
LLVA60001,7ELEVEN,CHESAPEAKE,VA,23320,,,,
LLVA60002,RANDSTAD,VIENNA,VA,22182,,,,
LLVA60003,WASTE OPERATIONS,CRIMORA,VA,24431,,,,
LLVA60004,"GREATER UNIVERSAL TRANSITIONAL SERVICES, LLC",VIRGINIA BEACH,VA,23454,,,,
LLVA60005,KIP KILLMON FORD,LOUISA,VA,23093,,,,
LLVA60006,"SHEAR SCAPES, INC",DUMFRIES,VA,22025,,,,
LLVA60008,TPS WIRING SOLUTIONS,BOWIE,MD,20715,,,,
LLVA60009,MICHAEL L. HARDY,AYLETT,VA,23009,,,,
LLVA60010,RACHEL'S HAVEN INC,POND,VA,24279,,,,
LLVA60011,HARKNESS SCREEN USA LTD,FREDERICKSBURG,VA,22401,,,,
LLVA60012,HAYNES FURNITURE,VIRGINIA BEACH,VA,23462,,,,
LLVA60013,E-9 CORPORATION,SPRINGFIELD,VA,22150,,,,
LLVA60014,ASSOCIATION & PROPERTY MANAGEMENT SERVICES LLC,HARRISONBURG,VA,22801,,,,
LLVA60015,NOVA PATIENT CARE,ARLINGTON,VA,22314,,,,
LLVA60016,"A NEW INSPIRATION, LLC",SALEM,VA,24153,,,,
LLVA60017,MARK'S PAINTING,AMISSVILLE,VA,20106,,,,
LLVA60018,CAN-CAN BRASSERIE,RICHMOND,VA,23221,,,,
LLVA60019,SOURCE4TEACHERS,CHERRY HILL,NJ,8034,,,,
LLVA60020,"JSK INVESTMENT, INC",HERNDON,VA,20170,,,,
LLVA60021,GOURMET KABOB,SPRINGFIELD,VA,22150,,,,
LLVA60022,GOURMET KABOB,SPRINGFIELD,VA,22150,,,,
LLVA60023,AMERICAN LAWN CARE & PRESSURE WASHER,MARTINSVILLE,VA,24112,,,,
LLVA60024,BEST HEALTH CARE SERVICES,BURKE,VA,22015,,,,
LLVA60025,CHECKERED FLAG HONDA,NORFOLK,VA,23502,,,,
LLVA60026,SELECT STAFFING,RICHMOND,VA,23231,,,,
LLVA60027,RIVAL SCREEN PRINT AND EMBROIDERY,GAINESVILLE,VA,20155,,,,
LLVA60029,VIDEONEX FEDERAL INC,CHANTILLY,VA,20151,,,,
LLVA60030,CLEAR BLUE POOL SERVICE INC,VIRGINIA BEACH,VA,23457,,,,
LLVA60031,AMERICRANE,FREDERICKSBURG,VA,22407,,,,
LLVA60032,CCS CONSTRUCTION,CHARLOTTE,NC,28206,,,,
LLVA60033,SOUTHWEST VIRGINIA MOVING & STORAGE,CHRISTIANSBURG,VA,24073,,,,
LLVA60034,SERVPRO OF PORTSMOUTH,PORTSMOUTH,VA,23703,,,,
LLVA60035,PREZIO HEALTH INC,MADISON HEIGHTS,MI,48071,,,,
LLVA60036,RED TOMATO PIZZARIA,MCLEAN,VA,22101,,,,
LLVA60038,GAUNTLET GOLF CLUB,FREDERICKSBURG,VA,22406,,,,
LLVA60039,RESOLUTION GROUP INC,WOODBRIDGE,VA,22192,,,,
LLVA60040,ROM CO INC,JOHNSTOWN,PA,15902,,,,
LLVA60041,R & R CATERING,SPRINGFIELD,VA,22150,,,,
LLVA60043,NEW GROWTH BEHAVIORAL HEALTH LLC,CHESTERFIELD,VA,23832,,,,
LLVA60044,CASTELLO 1935,BUCHANAN,VA,24066,,,,
LLVA60045,DARE TO CHANGE LLC,RICHMOND,VA,23230,,,,
LLVA60046,MOBIL ADVERTISING TV,VIRGINIA BEACH,VA,23454,,,,
LLVA60047,TPS WIRING SOLUTIONS,BOWIE,MD,20715,,,,
LLVA60048,DARE TO CHANGE LLC,RICHMOND,VA,23226,,,,
LLVA60049,KMS CONSULTING,NORTH CHESTERFIELD,VA,23236,,,,
LLVA60051,GAMEVAULT,FREDERICKSBURG,VA,22407,,,,
LLVA60054,PORTSMOUTH REDEVELOPMENT HOUSING AUTHORITY,PORTSMOUTH,VA,23707,,,,
LLVA60055,E-9 CORPORATION,SPRINGFIELD,VA,22150,,,,
LLVA60056,CONTINENTAL EXPRESS INC,SIDNEY,OH,45365,,,,
LLVA60057,KABANA ROOF TOP BAR,RICHMOND,VA,23219,,,,
LLVA60058,4-SEASONS RESTAURANT,FREDERICKSBURG,VA,22408,,,,
LLVA60059,DUKE & PICKET SHELL,ALEXANDRIA,VA,23204,,,,
LLVA60060,HOLTZMAN OIL CORPORATION,MOUNT JACKSON,VA,22842,,,,
LLVA60061,"PCG PUBLIC PARTNERSHIP, LLC",GLEN ALLEN,VA,23060,,,,
LLVA60062,WORLD CLASS WORKFORCE,ALEXANDRIA,VA,22310,,,,
LLVA60063,"GREATER UNIVERSAL TRANSITIONAL SERVICES, LLC",VIRGINIA BEACH,VA,23454,,,,
LLVA60064,ARBICO EAST LLC,ABINGDON,VA,24210,,,,
LLVA60065,COLLEGE HUNTS - NW VA,STEPHENS,VA,22655,,,,
LLVA60066,.,NA,NA,NA,,,,
LLVA60067,RICHMOND CHRISTIAN CENTER,RICHMOND,VA,23224,,,,
LLVA60068,JUNIOR MARKET,VIRGINIA BEACH,VA,23452,,,,
LLVA60069,AT HOME PERSONAL CARE SERVICES,MANASSAS,VA,20110,,,,
LLVA60070,P & P CONTRACTORS/C & P ENTERPRISES,SOUTH HILL,VA,23970,,,,
LLVA60071,P & P CONTRACTORS/C & P ENTERPRISES,SOUTH HILL,VA,23970,,,,
LLVA60073,P & P CONTRACTORS/C&P ENTERPRISES,SOUTH HILL,VA,23970,,,,
LLVA60074,BULL RUN ACADEMY GYMNASTICS,WARRENTON,VA,20187,,,,
LLVA60076,PRINCE WILLIAM PLASTIC SURGERY AND SPA,WOODBRIDGE,VA,22192,,,,
LLVA60077,FLOWERS BAKING CO,NORFOLK,VA,23504,,,,
LLVA60078,"SDS ENGINEERING, LLC",FAIRFAX,VA,22301,,,,
LLVA60079,GENERAL FRANCIS MARION HOTEL,MARION,VA,23454,,,,
LLVA60080,CERTUS FIRE PROTECTION,CROFTEN,MD,21114,,,,
LLVA60081,THE MAD BOMBER COMPANY,WINCHESTER,VA,22602,,,,
LLVA60082,MINISTERING ANGELS LLC,WINCHESTER,VA,22601,,,,
LLVA60083,APPLE DOOR,RICHMOND,VA,23235,,,,
LLVA60084,R & P GENERAL CONTRACTORS LLC,HAMPTON,VA,23669,,,,
LLVA60085,BAKER DC,WASHINGTON,DC,20007,,,,
LLVA60086,BELLA CAPELLI HAIR STUDIO,FISHERVILLE,VA,22939,,,,
LLVA60088,LINSDAY CHEVORLET,WOODBRIDGE,VA,22191,,,,
LLVA60089,UP & C ENTERPRISES LLC,LAUREL,MD,20707,,,,
LLVA60090,APPALACHIAN CONSTRUCTION AND MAINTENANCE LLC,CHRISTIANSBURG,VA,24073,,,,
LLVA60091,ACCURATE COURIER EXPRESS,RICHMOND,VA,23234,,,,
LLVA60092,SUBWAY AT WATERLICK INC,LYNCHBURG,VA,24502,,,,
LLVA60093,EASTERN FLOORING,HERTFORD,NC,27944,,,,
LLVA60096,KINDERCARE EDUCATION LLC,PORTLAND,OR,97232,,,,
LLVA60097,STATE MULTI FAMILY RESIDENTIAL CONSTRUCTION,WOODSTOCK,GA,30188,,,,
LLVA60098,KIELBASA EURPOPEAN FOODS,NORFOLK,VA,23502,,,,
LLVA60099,NIGGS OIL COMPANY,BIG STONE GAP,VA,24219,,,,
LLVA60100,THE GAME VAULT LLC,FREDERICKSBURG,VA,22407,,,,
LLVA60102,BOBBY PINS & BLUSH,FREDERICKSBURG,VA,22401,,,,
LLVA60104,"SUPERIOR LANDSCAPING, INC.",MECHANICSVILLE,VA,23116,,,,
LLVA60105,AUTOZONERS LLC,MEMPHIS,TN,38101,,,,
LLVA60106,DK ENTERPRISES OF CHANTILLY LLC,RESTON,VA,20194,,,,
LLVA60107,"JORDAN LOGISTICS, INC.",MECHANICSVILLE,VA,23111,,,,
LLVA60109,AMC POTOMAC MILLS 18,WOODBRIDGE,VA,22192,,,,
LLVA60110,BCAR INC,VIRGINIA BEACH,VA,23451,,,,
LLVA60111,FX AUTO RECONDITIONING CENTER,SPRINGFIELD,VA,22153,,,,
LLVA60115,"GREATER UNIVERSAL TRANSITIONAL SERVICES, LLC",VIRGINIA BEACH,VA,23454,,,,
LLVA60116,ALPHA & OMEGA PROTECTIVE SERVICES LLC,NEWPORT NEWS,VA,23607,,,,
LLVA60117,4-SEASONS,FREDERICKSBURG,VA,22408,,,,
LLVA60118,DAVIS AUTOSPORTS LLC,RICHMOND,VA,23250,,,,
LLVA60119,CARR EQUIPMENT INC,AMELIA,VA,23002,,,,
LLVA60120,LEESBURG STATION AUTO WASH,LEESBRUG,VA,20175,,,,
LLVA60122,HUNTINGTON LEARNING CENTER,WOODBRIDGE,VA,22192,,,,
LLVA60123,CUSTOMINK,FAIRFAX,VA,22031,,,,
LLVA60125,PERCENTRIC,NORFOLK,VA,23517,,,,
LLVA60127,SHAW CONSTRUCTION CORPORATION,YORKSOWN,VA,23692,,,,
LLVA60128,ANDREA JACKSON,CHESAPEAKE,VA,23321,,,,
LLVA60130,MATTHEWS MARKET,MAPPSVILLE,VA,23407,,,,
LLVA60132,SHORELINE MECHANICAL,VIRGINIA BEACH,VA,23454,,,,
LLVA60133,MORRISON MANAGEMENT SPECIALISTS,RICHMOND,VA,23226,,,,
LLVA60134,"COMMONWEALTH EXCAVATING, INC",VERONA,VA,24482,,,,
LLVA60135,YOUTH EXCEL & ADVANCEMENT,RICHMOND,VA,23220,,,,
LLVA60136,SOUTHERN CROSS CORPORATION,PEACHTREE CORNERS,GA,30071,,,,
LLVA60137,PARAGON RESOURCES CONCEPTS,LONGWOOD,FL,32750,,,,
LLVA60138,LYNN HAVEN SOUTHERN AUTO,VIRGINIA BEACH,VA,23454,,,,
LLVA60139,SSC SERVICE SOLUTIONS,MIDLOTHIAN,VA,23112,,,,
LLVA60140,REAL LOGISTICS LLC,HENRICO,VA,23294,,,,
LLVA60143,PIMENTO ISLAND BISTRO,NORFOLK,VA,23507,,,,
LLVA60144,PROFESSIONAL TRANSPORTATION INC,EVANSVILLE,IN,47715,,,,
LLVA60146,SKYE IS THE LIMIT,RICHMOND,VA,23237,,,,
LLVA60147,BLAIR'S TOWING & RECOVERY INC.,FALLS CHURCH,VA,22046,,,,
LLVA60148,THE CARDIAC CONNECTION,CHESTERFIELD,VA,23832,,,,
LLVA60149,NORRISBUILT FABRICATION,NORTON,VA,24273,,,,
LLVA60150,REVOLUTION DARTS & BILLARDS,CENTERVILLE,VA,20120,,,,
LLVA60151,FOUR SEASON'S,COLONIAL BEACH,VA,22443,,,,
LLVA60152,FRONT PORCH MARKET AND GRILL,THE PLAINS,VA,20198,,,,
LLVA60154,MAJESTIC GLASS AND MIRROR,DUMFRIES,VA,22026,,,,
LLVA60155,COMMERCIAL INDUSTRIAL SOLUTIONS AND STAFFING INC,PORTSMOUTH,VA,23701,,,,
LLVA60156,SILVER LINING LLC,WILLIAMSBURG,VA,23185,,,,
LLVA60157,HANK'S FOOD SERVICE LC,MCGAHEYSVILLE,VA,22840,,,,
LLVA60158,WYNDHAM RESORTS,WILLIAMSBURG,VA,23185,,,,
LLVA60159,WE LOVE KIDS INC,NEWPORT NEWS,VA,23602,,,,
LLVA60160,"EUNIQUE ENTERPRISES, LLC",UPPER MARLBORO,MD,20772,,,,
LLVA60161,HUNTINGTON LEARNING CENTER,WOODBRIDGE,VA,22192,,,,
LLVA60164,SUPERCUTS,SPRINGFIELD,VA,22150,,,,
LLVA60165,CHAMBERLAYNE AUTO SALES,RICHMOND,VA,23227,,,,
LLVA60166,SHORELINE MECHANICAL INC,VIRGINIA BEACH,VA,23454,,,,
LLVA60168,INN AT VINEYARDS CROSSING,HUME,VA,22639,,,,
LLVA60171,"COMMONWEALTH ALUMINUM SUPPLY, INC",FREDERICKSBURG,VA,22406,,,,
LLVA60172,THE GREAT 611 STEAK CO,ROANOKE,VA,24014,,,,
LLVA60173,AUTOZONERS LLC,RICHMOND,VA,23227,,,,
LLVA60174,"OAKLEY TANK LINES, INC",PRINCE GEORGE,VA,23875,,,,
LLVA60176,KINGSTON INN AND SUITES,LEXINGTON,VA,24450,,,,
LLVA60178,"DALTON ENTERPRISES ASPHALT PAVING, LLC",MARTINSVILLE,VA,24112,,,,
LLVA60179,THE DOG SPOT,ABINGDON,VA,24210,,,,
LLVA60180,THE GREAT 611 STEAK CO,ROANOKE,VA,24011,,,,
LLVA60181,RICHMOND CHRISTIAN CENTER,RICHMOND,VA,23224,,,,
LLVA60182,THE DAIRY GODMOTHER,ALEXANDRIA,VA,22301,,,,
LLVA60183,R & C AUTO REPAIR & COLLISION,STERLING,VA,20166,,,,
LLVA60184,WYANT INSURANCE & FINANCIAL SERVICES INC.,CHARLOTTESVILLE,VA,22903,,,,
LLVA60185,HOLLY RIDGE MANOR,VIRGINIA BEACH,VA,23456,,,,
LLVA60187,LOVE BUGS LEARNING CENTER,VIRGINIA BEACH,VA,23462,,,,
LLVA60188,7 ELEVEN,SUFFOLK,VA,23435,,,,
LLVA60189,RIDGE TOOL MANUFACTURING CO,ST LOUIS,MO,63136,,,,
LLVA60190,DTLR,NEWPORT NEWS,VA,23602,,,,
LLVA60192,VIRGINIA HOME-BASE COUNSELING,MANASSAS,VA,20109,,,,
LLVA60193,"THIS ""N"" THAT AMISH OUTLET",LEESBURG,VA,20176,,,,
LLVA60194,BIG TRUCK TIRE & REPAIR,FAIRFIELD,VA,24435,,,,
LLVA60195,GREENHOUSE BISTRO,VIENNA,VA,22182,,,,
LLVA60196,THE MIKE WEBB TEAM,ALEXANDRIA,VA,22302,,,,
LLVA60197,BAYMONT INN,MORRISVILLE,NC,27560,,,,
LLVA60198,INTUITIVE JOURNEYS PLC,FREDERICKSBURG,VA,22401,,,,
LLVA60199,JACKSONS CLEANING SERVICE,CHARLOTTESVILLE,VA,22901,,,,
LLVA60200,VIRGINIA BEACH LAWN AND LANDSCAPE,VIRGINIA BEACH,VA,23454,,,,
LLVA60201,FOX THERAPY CENTERS,GLEN ALLEN,VA,23060,,,,
LLVA60202,RURAL KING,FRONT ROYAL,VA,22630,,,,
LLVA60203,"ACCESSIBLE HOME HEALTH CARE, LLC",HENRICO,VA,23294,,,,
LLVA60204,FEDEX,LORTON,VA,22079,,,,
LLVA60205,SALON DEBONAIRE,RICHMOND,VA,23226,,,,
LLVA60207,BUY BUSTERS PEST CONTROL,FARMVILLE,VA,23901,,,,
LLVA60208,REMODELING RESOURCES,MIDLOTHIAN,VA,23112,,,,
LLVA60209,LANDMARK PROPERTIES INC,NEWPORT NEWS,VA,23606,,,,
LLVA60210,THE LAW OFFICE OF REGINALD R. YANCEY,LYNCHBURG,VA,24501,,,,
LLVA60211,GREENHOUSE BRISTRO,VIENNA,VA,22182,,,,
LLVA60212,NO BUSINESS NAME GIVEN,NA,NA,NA,,,,
LLVA60213,A & A JANITORIAL SERVICES,MAUMEE,OH,43537,,,,
LLVA60214,CERTIFIED ELECTRICAL TECHNOLOGIES,ROCKVILLE,MD,20859,,,,
LLVA60215,FOX THERAPY CENTERS,GLEN ALLEN,VA,23060,,,,
LLVA60216,JOHNSTON ENTERPRISES,APPOMATTOX,VA,24522,,,,
LLVA60217,LECACY CONSULTANT PHARMACY,WINSTON SALEM,NC,27127,,,,
LLVA60218,ORTIZ CONSTRUCTION,RESTON,VA,20190,,,,
LLVA60219,PERFECT EYEBROWS,ARLINGTON,VA,22203,,,,
LLVA60220,BURRUS ROOFING,KING GEORG,VA,22485,,,,
